Name,Address,Year,Keywords,Latitude,Longitude,Belongs_to_Berlin,matched_styles,matched_types
Parzelle des Hofgarten-Blocks,Berlin Bezirk Mitte Mitte Behrenstraße28,1993–1996,Baulücke Bürogebäude Geschäftshaus Stadthaus Wohnen Staffelgeschoss,52.51442309999999,13.3897796,True,,Wohngebäude - Wohnen
Wohnhaus,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Alemannenallee3; Merowingerweg 10,1925–1926,Mehrfamilienhaus,52.5079459,13.266325,True,,Wohngebäude - Einfamilienhaus
Sankt Bernhard-Kirche,Berlin Bezirk Steglitz-Zehlendorf Dahlem Königin-Luise-Straße33,1934,Denkmalschutz Portal Filialkirche Basilika Kirchenpatrons Marmorrückwand Kirche Sankt Bernhard,52.4580505,13.2907491,True,,Sonstige Gebäude - Sportanlage
Wohnpark am Lützowplatz,Berlin Bezirk Mitte Tiergarten Lützowplatz1,1987,Internationalen Bau­aus­stel­lung 1987 Lage: Platz Mehrfamilienhaus Postmoderne Wohnanlage,52.50501999999999,13.35391,True,Moderne - Internationaler Stil,Öffentliche Gebäude - Palast
evangelische Sankt-Nikolaikirche,Berlin Bezirk Spandau Spandau Reformationsplatz,ca. 1410–1431,gotische Hallenkirche Pfarrkirche evangelischen Patrozinium Nikolaus von Myra spätgotische Katholiken Backsteinbau Sterngewölbe Kreuzrippengewölbe Traufhöhe Dachreiter barocke Christus Pilastern Maria Kirche Glaubensrichtung: evangelisch Spätgotik Hallenkirche Sankt Nikolaus,52.5384569,13.2048614,True,Mittelalter - Gotik,
Markthalle VI - Ackerhalle,Berlin Bezirk Mitte Mitte Ackerstraße23;Invalidenstraße158,1886–1888,Basilika giebeltes Neorenaissancestil Sheddächern Bogentragwerk Markthalle Mauerwerksfassade aus Ziegel Restaurierung Stahlkonstruktion Neorenaissance dreischiffig,52.5321244,13.3971152,True,Renaissance - Renaissance,
Berufsschulen am Urbanhafen,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg,1928–1929,Berufsschule Schule,52.4983442,13.4065791,True,,
Zentrale der Dresdner Bank Berlin,Berlin Bezirk Mitte Mitte Pariser Platz5a/6,1995,"Atrium Bankgebäude Blockrandbebauung Form: Kreis Lage: Platz Staffelgeschoss Wettbewerb, 1. Preis",52.5173086,13.3792777,True,,Öffentliche Gebäude - Sanitärgebäude
Erweiterung des Krankenhaus Neukölln,Berlin Bezirk Treptow-Köpenick Altglienicke Rudower Straße 47,1977–1986,Erweiterung Krankenhaus Riegel,52.4213501,13.5339493,True,,
Kirche Sankt Johannes Capistran mit Franziskanerkloster und Studentenhaus,Berlin Bezirk Tempelhof-Schöneberg Tempelhof Götzstraße 65; Götzstraße @ Felixstraße,1968,Pflegeheim Klosters Franziskaner Denkmalschutz Diskotheken Supermärkte Restaurants Bauensemble skelettbau Basilika Empore Campanile Kirche Glaubensrichtung: katholisch Kloster Glaubensrichtung: Franziskaner Sankt Johann,52.4618914,13.3963302,True,,Denkmalschutz - Denkmalschutz
Victoria-Areal,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Kurfürstendamm19/20;Joachimsthaler Straße5/6;Kantstraße160,1956,,52.50450499999999,13.3310039,True,,
Podewils'sches Palais,Berlin Bezirk Mitte Mitte Klosterstraße68-70,1701–1704,barockes Pilastern Wandgemälde Stuckdecken Satteldach Rekonstruktion Doppelwalmdach Denkmalschutz Barock Wohnhaus Stadtpalast,52.517728,13.4125543,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Palast
Wohnhaus Walther Lange,Berlin Bezirk Steglitz-Zehlendorf Nikolassee Libellenstraße 9,1927–1928,Einfamilienhaus,52.4257923,13.1926656,True,,Wohngebäude - Einfamilienhaus
Abwasserpumpwerk Tiergarten,Berlin Bezirk Mitte Moabit Alt-Moabit70; Gotzkowskystraße 22,1978,Abwasserpumpwerk Akustik Anbau Erweiterung Quadratfenster Sprossenteilung Kamin Lage: Stadt Mauerwerksfassade aus Ziegel Satteldach Technikgebäude Dachdeckung: Blech,52.5237676,13.3307468,True,,Öffentliche Gebäude - Technikgebäude
Sankt Peter und Paul,Berlin Bezirk Steglitz-Zehlendorf Wannsee Nikolskoer Weg17,1834–1837,evangelische Kirche Zwiebelturm orthodoxer Kirchenbauten Kirche Lage: Landschaft Historismus Sankt Peter und Paul,52.4212993,13.1147633,True,Historismus - Historismus,
Bürogebäude,Berlin,ca. 1997,Bürogebäude,52.52000659999999,13.404954,True,,
Holocaust-Mahnmal - Denkmal für die ermordeten Juden Europas,Berlin Bezirk Mitte Mitte Cora-Berliner-Straße1;Behrenstraße;Ebertstraße,1997,"minimalistischen Denkmal Platz skulpturaler Bau Gedenkstätte Gedenkstätte: Nationalsozialismus Wettbewerb, 1. Preis",52.51457569999999,13.3773594,True,Moderne - Funktionalismus,Öffentliche Gebäude - Gedenkstätte
Haus Heidenreich,Berlin Bezirk Steglitz-Zehlendorf Dahlem Peter-Lenné-Straße1/3,1915–1916,,52.4633871,13.2959274,True,,
Verwaltungsgebäude des Allgemeinen Deutschen Gewerkschaftsbundes,Berlin Bezirk Mitte Mitte Wallstraße 61-65;Inselstraße6; Märkisches Ufer 32-34,1922–1923,"7-geschossig Betonkonstruktion Expressionismus Farbigkeit Funktionalismus Verwaltungsgebäude Abtreppung, vertikal Ausfachung mit Mauerwerk",52.5132272,13.4123109,True,Moderne - Expressionismus,Öffentliche Gebäude - Regierungsgebäude
Sankt Johannis-Kirche,Berlin Bezirk Mitte Moabit Alt-Moabit25,1834–1835,Kirche Johannes dem Täufer Denkmalschutz friedhof Campanile Kirchengebäude Pfarrhaus Campanile Arkadengang Emporen Giebel spätgotische Gemeindehauses Friedhof Denkmalschutz Saalkirche Satteldach Halbrosette Basiliken Sandstein Pilaster Empore Kirche Historismus Neoromanik Sankt Johann Stilelemente Pfarrkirche,52.5248312,13.3491794,True,Mittelalter - Vorromanik,Öffentliche Gebäude - Technikgebäude
Olympiastadion Berlin,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Olympischer Platz3,1909,Sichtachse Denkmalschutzes Fußballstadion Kopfbahnsteigen Monumentalität Olympiade Sportanlage Stadion Überdachung Fußballstadion Faschistische Architektur Naturrasen,52.5144532,13.2432579,True,Antike - Römische Architektur,Sonstige Gebäude - Sportanlage
Galeries Lafayette,Berlin Bezirk Mitte Tiergarten Potsdamer Platz,1928,"Fassadengliederung, horizontal Geschäftshaus Lage: Platz Lage: Stadt",52.5096488,13.3759441,True,,Öffentliche Gebäude - Palast
Parkanlage »Moabiter Werder«,Berlin Bezirk Mitte Moabit Joachim-Karnatz-Allee,1990,"Grünplanung Park Wettbewerb, 1. Preis",52.5194384,13.3581107,True,,Freizeiteinrichtungen - Park
Informationspavillon Leipziger Platz,Berlin Bezirk Mitte Tiergarten Leipziger Platz,1994,Aufständerung Ausblick Ausstellungsarchitektur Informationszentrum Pavillon Wettbewerb,52.5096122,13.3774304,True,Alternative/Regionale Stile - Anpassungsarchitektur,Freizeiteinrichtungen - Ausstellungsarchitektur
Beamten-Wohnhaus am Zoo,Berlin Bezirk Mitte Tiergarten Lützowufer36,1928–1929,Mauerwerksfassade aus Ziegel Mehrfamilienhaus,52.5067603,13.3487138,True,,Wohngebäude - Einfamilienhaus
World Trade Center,Berlin Bezirk Mitte Tiergarten Klingelhöferstraße;Stülerstraße,1991–1993,"Ensemble Messe Messegebäude Wettbewerb, 1. Preis",52.5096511,13.3512376,True,,
Dienstleistungszentrum Moabit,Berlin Bezirk Mitte Moabit Alt-Moabit,ca. 1991,Bürogebäude Industriebau: Gewerbe,52.5247165,13.348236,True,,Industriegebäude - Industriebau
Konzerthaus - Probensaal und Café,Berlin Bezirk Mitte Mitte Gendarmenmarkt,,Theater,52.5132122,13.3925122,True,,
Gleichrichterwerk Saalestraße,Berlin Bezirk Neukölln Neukölln Saalestraße 50,1927,Umspannstation S-Bahnverkehr Mauerwerk aus Ziegel,52.4718733,13.4541533,True,,
Einküchenhäuser Lichterfelde-West,Berlin Bezirk Steglitz-Zehlendorf Lichterfelde Unter den Eichen 53,1909,Mehrfamilienhaus Einküchenhaus,52.4476373,13.294869,True,,Wohngebäude - Einfamilienhaus
Fabrikgebäude der Auergesellschaft,Berlin Bezirk Mitte Moabit Friedrich-Krause-Ufer24 (Torfstraße34/35),1937–1938,4-geschossig Flachdach Industriebau Lochfassade Mauerwerksfassade aus Ziegel,52.5379614,13.3551147,True,,Industriegebäude - Industriebau
Denkmal für Karl Liebknecht und Rosa Luxemburg,Berlin Bezirk Lichtenberg Friedrichsfelde(Zentralfriedhof Friedrichsfelde),1926,expressionistische Architektur Edelstahl Denkmal Friedhof Mauerwerk skulpturaler Bau Gedenkstätte,52.5192018,13.5135455,True,Antike - Römische Architektur,Öffentliche Gebäude - Gedenkstätte
Mehrfamilienhaus,Berlin Bezirk Charlottenburg-Wilmersdorf Westend Olympische Straße,ca. 1928,Mehrfamilienhaus,52.5160488,13.2547055,True,,Wohngebäude - Einfamilienhaus
Spielcasino und Musical-Theater,Berlin Bezirk Mitte Tiergarten Marlene-Dietrich-Platz,ca. 2000,Theater Spielcasino,52.5073812,13.3727018,True,,
Haus Platte,Berlin Bezirk Steglitz-Zehlendorf Dahlem Starstraße 7,1957–1959,1-geschossig Einfamilienhaus,52.464071,13.2793472,True,,Wohngebäude - Einfamilienhaus
Landesvertretung Saarland,Berlin Bezirk Mitte Mitte In den Ministergärten4,1997–ca. 2000,Auslandsvertretung Regierungsgebäude Wettbewerb,52.5127085,13.3792019,True,,Öffentliche Gebäude - Auslandsvertretung
Ausstellungs- und Dokumentationszentrum Topographie des Terrors,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Niederkirchnerstraße8,1993–2000,"Ausstellung Beton-Glasfassade Betonkonstruktion Decke, abgehängt Fassadenschichtung Flachdach Museum für Geschichte Struktur Wettbewerb Gedenkstätte Museum für Nationalsozialismus",52.5066478,13.3839555,True,Moderne - Funktionalismus,Öffentliche Gebäude - Gedenkstätte
Siedlung Britz (Hufeisensiedlung),Berlin Bezirk Neukölln Britz Fritz-Reuter-Allee; Buschkrugallee,1925–1927,Neuen Bauens Neuen Bauens Gartenstadtbewegung Neues Bauen Pultdach Denkmalschutz Farbigkeit U-Form Garten Geschosswohnung Mauerwerksfassade aus Ziegel Mehrfamilienhaus Reihenhaus Satteldach Siedlung Wohnanlage Zeile Putzfassade,52.444258,13.4494822,True,,Wohngebäude - Gartenhaus
Humboldt-Universität,Berlin Bezirk Mitte Mitte Unter den Linden6,1748–1766,rekonstruiert Treppenhaus Marmor sozialistischen Klassizismus Denkmalschutz Attika risalit Rekonstruktionen Barock Umnutzung Universitätsgebäude Stadtpalast,52.5186289,13.3935634,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Palast
Hochschulstadt Berlin,Berlin,1938,,52.52000659999999,13.404954,True,,
Wohnhaus Am Großen Wannsee 4A,Berlin Bezirk Steglitz-Zehlendorf Wannsee Am Großen Wannsee4A,1932–1933,Internationaler Stil Lage: See Villa,52.421575,13.1665035,True,Moderne - Internationaler Stil,Industriegebäude - Silo
Bauten für die Deutsche Versuchsanstalt für Luftfahrt,Berlin Bezirk Treptow-Köpenick Adlershof,1932–1935,Forschungsgebäude,52.434879,13.5421149,True,,Öffentliche Gebäude - Regierungsgebäude
Akkumulatorenfabrik (BAE Batterien),Berlin Bezirk Treptow-Köpenick Oberschöneweide Wilhelminenhofstraße66–70;Ostendstraße30–35,1899,Fabrik,52.46877079999999,13.5145259,True,,
Angel Root,Berlin Bezirk Mitte Mitte Klosterstraße50,,Botschaft,52.5153533,13.4115911,True,,
Britische Botschaft,Berlin Bezirk Mitte Mitte Wilhelmstraße70-71,1996–2000,"Auslandsvertretung Botschaft Lage: Platz Lochfassade Wettbewerb, 1. Preis",52.51586,13.38076,True,,Öffentliche Gebäude - Auslandsvertretung
Landhaus Lewin,Berlin Bezirk Charlottenburg-Wilmersdorf Grunewald Herbertstraße 17,1925–1926,Einfamilienhaus,52.4872911,13.2831607,True,,Wohngebäude - Einfamilienhaus
Polizei- und Feuerwache,Berlin Bezirk Mitte Tiergarten Elisabeth-Abegg-Straße 2;Alt-Moabit,2002–2004,"Anbau Aufständerung Farbigkeit Feuerwehrhaus Glasfassade, mehrschichtig Umbau Polizeiwache Glas, farbig",52.5227547,13.3667711,True,,Öffentliche Gebäude - Feuerwehrhaus
Bolle Meierei,Berlin Bezirk Mitte Tiergarten Alt-Moabit98-104,ca. 1880,,52.5238866,13.3463583,True,,
Interbau-Bauteil (Wohnanlage),Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Klopstockstraße13/15/17,1956–1957,IBA 1957 (Interbau) Mehrfamilienhaus,52.5213115,13.3433225,True,,Wohngebäude - Einfamilienhaus
Geschäftshaus Lehmann,Berlin Bezirk Mitte Mitte Markgrafenstraße55;Schützenstraße63,1913–1914,Geschäftshaus,52.5088983,13.3936763,True,,Gewächshäuser und Gärten - Gewächshaus
Lindenschule (Lindengrundschule),Berlin Bezirk Spandau Staaken Staakener Feldstraße 6-8,1992,"Grundschule Schule Wettbewerb, 1. Preis",52.53517,13.14081,True,,
Produktionstechnisches Zentrum,Berlin,1982–1986,Industriebau,52.52000659999999,13.404954,True,,Industriegebäude - Industriebau
Bronzerelief »Tod des Demonstranten«,Berlin Bezirk Charlottenburg-Wilmersdorf Charlottenburg Bismarckstraße,1971,Denkmal Skulptur,52.5118433,13.3090367,True,,
Heizkraftwerk Berlin-Mitte,Berlin Bezirk Mitte Mitte Köpenicker Straße60; Rungestraße; Michaelkirchstraße,1994–1996,Heizkraftwerk Industriearchitektur Foyer Heizkraftwerk,52.5097742,13.4211895,True,Alternative/Regionale Stile - Prähistorische Architektur,
Kaufhaus Peek & Cloppenburg,Berlin Bezirk Tempelhof-Schöneberg Schöneberg Tauentzienstraße19,1993,"Eckhaus Glasfassade Kaufhaus Fassadengestaltung Fassade, schräg",52.5024267,13.3397567,True,Moderne - Bauhaus,
Kindertagesstätte und Sporthalle,Berlin Bezirk Tempelhof-Schöneberg Schöneberg Pallasstraße15,bis 2001,Kindertagesstätte Sporthalle,52.4955465,13.3567159,True,,Sonstige Gebäude - Sportanlage
Hauptrepräsentanz der Deutschen Telekom AG,Berlin Bezirk Mitte Mitte Französische Straße;Oberwallstraße,bis 2002,Bürogebäude,52.515244,13.3967832,True,,
Musterhaus und Wohnung für einen Junggesellen,Berlin,1931,1-geschossig Außenraumbezug Ausstellungsarchitektur Einfamilienhaus Flachdach Prototyp,52.52000659999999,13.404954,True,Alternative/Regionale Stile - Anpassungsarchitektur,Wohngebäude - Einfamilienhaus
Japanische Botschaft,Berlin Bezirk Mitte Tiergarten Hiroshimastraße6;Tiergartenstraße24-27,1938–1942,Attika Denkmalschutz Botschaft Faschistische Architektur,52.5098262,13.3577826,True,Antike - Römische Architektur,Denkmalschutz - Denkmalschutz
Dorland-Haus (Haus der Werbung),Berlin Bezirk Tempelhof-Schöneberg Schöneberg An der Urania 20-22,1964–1966,Hochhaus denkmalgeschützte Solitär Sichtbeton Bürogebäude Form: Dreieck Geschäftshaus Hochhaus 13-geschossig Stahl Sichtbeton,52.5017412,13.3464552,True,,Gewächshäuser und Gärten - Gewächshaus
Reichsbank,Berlin Bezirk Mitte Mitte Werderscher Markt,1934–1939,geladenen Wettbewerb,52.5152198,13.3980206,True,,
Dom Aquaree,Berlin Bezirk Mitte Mitte Karl-Liebknecht-Straße;Spandauer Straße,,Aquarium Block Bürogebäude Geschäftshaus Glasdach Passage,52.5201646,13.4047944,True,Barock/Rokoko - Barock,Freizeiteinrichtungen - Passage
Seniorenwohnheim,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Köpenicker Straße190-193,1985–1987,"4-geschossig Altenwohnheim Anbau Atrium Ausbau Blockrandbebauung Blockrandbebauung, aufgelöst IBA 1984 (Berlin) Rampe Umbau Wohnheim Klappläden Wettbewerb, 1. Preis",52.501527,13.4399564,True,,Wohngebäude - Wohnen
Potsdamer Platz,Berlin Bezirk Mitte Tiergarten Potsdamer Platz,1991,Blockrandbebauung Platz Stadtplanung Wettbewerb,52.5096488,13.3759441,True,,Öffentliche Gebäude - Stadtplanung
Wohnhaus des niederländischen Botschafters,Berlin,1998,Einfamilienhaus Wohnhaus,52.52000659999999,13.404954,True,,Wohngebäude - Einfamilienhaus
Kindertagesstätte Ankogelweg,Berlin Bezirk Tempelhof-Schöneberg Mariendorf Ankogelweg,2000–2001,Außenraumbezug Flachdach Form: L Kindertagesstätte Mauerwerksfassade aus Ziegel,52.4235196,13.4026354,True,,
Wohnhochhaus auf der Interbau,Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Klopstockstraße2,1955–1957,Appartement Erschließung: Kern Geschosswohnung Hochhaus IBA 1957 (Interbau) Mehrfamilienhaus 17-geschossig,52.5213115,13.3433225,True,,Wohngebäude - Einfamilienhaus
Wohnhaus im Block 9,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Wilhelmstraße; Anhalterstraße,ab 1982,"Blockrandbebauung Eckhaus Form: Kubus Geschosswohnung Lochfassade Mauerwerksfassade aus Ziegel Mehrfamilienhaus Turmhaus 5,5-geschossig 12-geschossig",52.5053625,13.3866292,True,,Wohngebäude - Einfamilienhaus
Deutsche Staatsoper,Berlin Bezirk Mitte Mitte Unter den Linden7,1741–1743,Opernhaus Portikus Giebel Re- und Neukonstruktion Ornamentik Travertinplatten Kalksteinen Marmore Attika Denkmalschutzes denkmalpflegerischen Barock Barock Klassizismus Lage: Platz Oper Portikus Rokoko,52.519444,13.406667,True,Barock/Rokoko - Barock,Öffentliche Gebäude - Palast
Alte Nationalgalerie - Wiederherstellung,Berlin Bezirk Mitte Mitte Bodestraße1-3,bis 2001,Museum Berliner Museumsinsel,52.519444,13.406667,True,,Öffentliche Gebäude - Mausoleum
Bundestagsbibliothek,Berlin Bezirk Mitte Mitte Adele-Schreiber-Krieger-Straße;Schiffbauerdamm,1998–2000,Rotunde Bibliothek Regierungsgebäude Rotunde,52.5209398,13.3770567,True,,Öffentliche Gebäude - Regierungsgebäude
Wohnblock auf der Interbau 1957 im Hansaviertel,Berlin Bezirk Mitte Hansaviertel(Südliches Hansaviertel) Händelallee1/3/5/7/9,1956–1957,Interbau Denkmalschutz Interbau Neuen Bauen Glasbausteine Beton Flachdach Geschosswohnung IBA 1957 (Interbau) Mehrfamilienhaus Penthouse Skelettbau,52.5213115,13.3433225,True,,Wohngebäude - Einfamilienhaus
Auswärtiges Amt - Neubau,Berlin Bezirk Mitte Mitte Werderscher Markt1,1996–1999,"6-geschossig Atrium Ausblick Fensterband Innenhof Regierungsgebäude Steinplattenfassade Form: Quader Wettbewerb, 2. Preis",52.514792,13.3984312,True,,Öffentliche Gebäude - Regierungsgebäude
Kirche Sankt Raphael,Berlin Bezirk Spandau Gatow Alt-Gatow49a,ca. 1964–ca. 1965,"römisch-katholische Filialkirche Kapelle Gebäudekomplex Skelettbau Stützen verputztem Flachdach Mutter Jesu Campanile Belichtung Form: Kubus Kirche Oberlichtband Kirchturm, freistehend Sankt Rafael",52.4887434,13.1671038,True,,
U-Bahnhof Wittenbergplatz,Berlin Bezirk Tempelhof-Schöneberg Schöneberg Wittenbergplatz,1913,Architektenwettbewerb denkmalgerechte Bahnstation Eingangsgebäude Neoklassizismus unterirdisch U-Bahnverkehr,52.501638,13.3426468,True,Klassizismus - Klassizismus,Öffentliche Gebäude - Regierungsgebäude
Kirche Sankt Jacobi,Berlin Bezirk Friedrichshain-Kreuzberg Kreuzberg Oranienstraße132-134; Jacobikirchstraße 5-6,1844–1845,Basilika Kirchengebäude Basilika Campanile Atrium Arkadengängen korinthischen dorischen Emporen Mosaik Petrus Sandsteinplastik Notkirche Kirche Glaubensrichtung: evangelisch Sankt Jakob,52.4983442,13.4065791,True,,Öffentliche Gebäude - Technikgebäude
Jagdschloss Glienicke,Berlin Bezirk Steglitz-Zehlendorf Wannsee Königstraße36,1682–1693,Jagdschloss Neorenaissance Jugendherberge Barock Schloss Umbau Historismus Jagdschloss,52.415113,13.1468678,True,Renaissance - Renaissance,Öffentliche Gebäude - Schloss
Bahnhof der U5 »Weberwiese«,Berlin Bezirk Friedrichshain-Kreuzberg Friedrichshain Karl-Marx-Allee,ca. 1994,Bahnhof Bahnstation Belichtung Glasdach unterirdisch U-Bahnverkehr,52.5182474,13.4367544,True,,Öffentliche Gebäude - Bauhof
Haus Loeser & Wolff,Berlin Bezirk Mitte Tiergarten Potsdamer Straße58;Schöneberger Ufer47,1928–1930,"Bürogebäude Eckhaus Ecke, abgerundet",52.5058343,13.3660985,True,,
Fabrikanlage der Roth-Büchner GmbH,Berlin Bezirk Tempelhof-Schöneberg Tempelhof Oberlandstraße 75-84,1936–1939,Fabrik,52.4636156,13.4077987,True,,
Invalidenpark,Berlin Bezirk Mitte Mitte Invalidenstraße; Scharnhorststraße; Schwarzer Weg,bis 1997,,52.5284555,13.3759934,True,,
